Latitude,Longitude
39.73215019247419,-8.822477459907532
39.73238534314655,-8.822101950645447
39.7324884791533,-8.821908831596375
39.73266174729726,-8.821613788604736
39.73266999815038,-8.821576237678528
39.73264524558802,-8.821120262145996
39.73268649985369,-8.820937871932983
39.732810262502575,-8.820739388465881
39.73285151666948,-8.820734024047852
39.73317742372016,-8.82103443145752
39.73338781859264,-8.82127046585083
39.733952993796066,-8.821849822998047
39.73407675417104,-8.821957111358643
39.73418401298295,-8.82176399230957
